workload,gomaxprocs,goroutines,jobs_per_worker,total_jobs,total_time_ms,throughput_jobs_per_sec,avg_latency_us,min_latency_us,max_latency_us,stddev_latency_us
cpu,1,1,500,500,47.650,10493.077,93.792,85.000,914.000,40.267
cpu,1,2,500,1000,91.737,10900.717,170.216,85.000,20537.000,1248.380
cpu,1,4,500,2000,180.217,11097.711,304.821,85.000,60945.000,3481.480
cpu,1,8,500,4000,348.818,11467.291,554.678,85.000,142211.000,7735.210
cpu,1,16,500,8000,702.984,11380.053,1030.250,85.000,312713.000,15868.653
cpu,1,32,500,16000,1399.335,11433.997,2047.528,85.000,642635.000,33193.781
cpu,1,64,500,32000,2816.234,11362.689,4137.418,85.000,1283845.000,67552.274
cpu,2,1,500,500,45.103,11085.607,89.724,85.000,283.000,18.378
cpu,2,2,500,1000,45.925,21774.612,90.871,85.000,453.000,23.572
cpu,2,4,500,2000,92.063,21724.225,163.561,85.000,30475.000,1246.385
cpu,2,8,500,4000,194.206,20596.613,303.002,85.000,91245.000,3618.307
cpu,2,16,500,8000,431.615,18535.024,654.437,87.000,217263.000,8721.703
cpu,2,32,500,16000,774.216,20666.065,1107.433,89.000,458548.000,16975.765
cpu,2,64,500,32000,1558.200,20536.516,2217.061,87.000,943881.000,35481.372
cpu,20,1,500,500,47.104,10614.712,93.818,91.000,246.000,10.542
cpu,20,2,500,1000,49.175,20335.220,96.725,89.000,903.000,39.582
cpu,20,4,500,2000,50.525,39583.596,98.871,91.000,440.000,13.966
cpu,20,8,500,4000,57.919,69060.788,109.403,100.000,532.000,20.218
cpu,20,16,500,8000,84.450,94730.214,155.070,102.000,417.000,24.150
cpu,20,32,500,16000,142.371,112382.030,198.213,108.000,21182.000,956.919
cpu,20,64,500,32000,273.759,116890.753,170.183,108.000,22031.000,532.049
mixed,1,1,500,500,11.970,41768.585,23.422,22.000,43.000,1.474
mixed,1,2,500,1000,22.334,44773.680,22.141,22.000,37.000,1.004
mixed,1,4,500,2000,42.677,46863.289,36.866,20.000,32030.000,715.568
mixed,1,8,500,4000,82.452,48512.553,20.125,19.000,187.000,4.220
mixed,1,16,500,8000,172.630,46341.837,41.340,19.000,162037.000,1811.309
mixed,1,32,500,16000,326.629,48985.150,319.273,19.000,306070.000,7884.756
mixed,1,64,500,32000,659.300,48536.263,617.223,19.000,609421.000,15555.865
mixed,2,1,500,500,10.403,48062.172,20.452,19.000,76.000,3.602
mixed,2,2,500,1000,11.588,86290.688,21.764,20.000,366.000,14.880
mixed,2,4,500,2000,23.886,83730.123,34.114,20.000,5570.000,214.844
mixed,2,8,500,4000,46.767,85528.899,61.149,20.000,32277.000,846.711
mixed,2,16,500,8000,90.082,88807.634,114.948,20.000,73083.000,2004.408
mixed,2,32,500,16000,179.992,88892.678,218.824,20.000,168717.000,4354.042
mixed,2,64,500,32000,363.419,88052.626,449.419,20.000,331755.000,9069.823
mixed,20,1,500,500,10.882,45943.674,21.222,20.000,164.000,8.401
mixed,20,2,500,1000,11.184,89409.770,21.227,19.000,199.000,11.323
mixed,20,4,500,2000,14.755,135538.784,26.984,19.000,2193.000,86.656
mixed,20,8,500,4000,30.958,129204.029,47.020,22.000,6775.000,263.250
mixed,20,16,500,8000,48.992,163290.893,79.532,22.000,7134.000,382.181
mixed,20,32,500,16000,93.044,171959.958,148.547,21.000,16413.000,779.565
mixed,20,64,500,32000,187.947,170260.527,309.378,22.000,24983.000,1375.931
